,precision,recall,f1-score,support
BacterialLeafBlight,0.8411214953271028,0.9,0.8695652173913043,400.0
BrownSpot,0.8375870069605569,0.9025,0.8688327316486161,400.0
Healthy,0.9701492537313433,0.7558139534883721,0.8496732026143791,86.0
Hispa,0.8875,0.8255813953488372,0.8554216867469879,86.0
LeafBlast,0.5631067961165048,0.651685393258427,0.6041666666666666,89.0
LeafScald,0.7444444444444445,0.7362637362637363,0.7403314917127072,91.0
LeafSmut,0.964769647696477,0.89,0.9258777633289987,400.0
NarrowBrownLeafSpot,0.7361111111111112,0.6022727272727273,0.6625,88.0
NeckBlast,1.0,1.0,1.0,90.0
accuracy,0.8560693641618498,0.8560693641618498,0.8560693641618498,0.8560693641618498
macro avg,0.8383099728208379,0.8071241339591223,0.8195965289010734,1730.0
weighted avg,0.861149030572914,0.8560693641618498,0.8565256904692687,1730.0
