true_label,predicted_label,count
LeafSmut,BrownSpot,26
LeafSmut,BacterialLeafBlight,18
BrownSpot,BacterialLeafBlight,17
NarrowBrownLeafSpot,LeafBlast,16
BacterialLeafBlight,BrownSpot,13
BacterialLeafBlight,LeafBlast,12
Healthy,BrownSpot,11
LeafBlast,BrownSpot,10
BrownSpot,NarrowBrownLeafSpot,10
LeafScald,BacterialLeafBlight,10
NarrowBrownLeafSpot,BrownSpot,9
LeafBlast,BacterialLeafBlight,9
LeafScald,LeafBlast,9
NarrowBrownLeafSpot,BacterialLeafBlight,9
LeafBlast,LeafScald,8
Healthy,Hispa,8
BacterialLeafBlight,LeafSmut,7
BacterialLeafBlight,LeafScald,7
BrownSpot,LeafBlast,6
Hispa,LeafScald,5
BrownSpot,LeafSmut,4
LeafBlast,NarrowBrownLeafSpot,4
LeafScald,NarrowBrownLeafSpot,4
Hispa,BacterialLeafBlight,4
BrownSpot,LeafScald,2
Hispa,LeafBlast,2
Hispa,Healthy,2
Healthy,LeafSmut,1
Healthy,BacterialLeafBlight,1
BacterialLeafBlight,NarrowBrownLeafSpot,1
Hispa,BrownSpot,1
Hispa,LeafSmut,1
LeafScald,Hispa,1
NarrowBrownLeafSpot,LeafScald,1
